,Stadt,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
79,Frankfurt,Innenstadt,26.0,15.3,15.0,16.9,7.8,13.7,0.7
80,Frankfurt,Westend-Sd,31.6,11.9,13.6,27.9,6.2,6.7,0.1
81,Frankfurt,Westend-Nord,28.7,15.9,16.2,22.2,5.2,9.4,0.4
82,Frankfurt,Nordend-West,25.3,15.6,20.1,17.7,5.1,12.8,0.5
83,Frankfurt,Nordend-Ost,20.7,17.6,23.6,13.1,4.5,16.6,0.4
84,Frankfurt,Ostend,23.7,19.4,18.7,13.6,6.3,14.2,0.5
85,Frankfurt,Bornheim,22.2,21.4,18.3,10.9,6.8,16.1,0.4
86,Frankfurt,Gutleut-/Bahnhofsviertel,21.4,15.6,18.4,16.8,7.1,16.5,0.4
87,Frankfurt,Gallus,24.4,18.1,13.4,17.3,9.5,12.7,0.5
88,Frankfurt,Bockenheim,22.5,19.0,19.1,15.1,6.0,14.1,0.5
89,Frankfurt,Sachsenhausen-Nord,27.1,15.9,18.6,19.2,5.8,10.3,0.4
90,Frankfurt,Sachsenhausen-Sd,30.2,17.4,13.6,18.9,7.6,9.1,0.3
91,Frankfurt,Oberrad,27.4,22.5,11.5,12.2,10.5,11.2,0.6
92,Frankfurt,Niederrad,26.1,22.4,11.9,13.6,10.3,10.9,0.6
93,Frankfurt,Schwanheim,30.6,23.2,9.5,11.1,12.4,8.7,0.4
94,Frankfurt,Griesheim,25.3,25.6,9.6,9.6,12.2,11.3,0.6
95,Frankfurt,Rdelheim,23.6,21.2,13.9,10.7,9.1,16.2,0.7
96,Frankfurt,Hausen,27.5,23.0,13.4,12.6,7.7,12.6,0.2
97,Frankfurt,Praunheim,24.5,24.3,12.8,10.5,11.1,12.6,0.4
98,Frankfurt,Heddernheim,24.7,24.7,13.3,9.8,10.1,13.0,0.6
99,Frankfurt,Niederursel,26.2,24.2,12.6,11.2,10.9,10.8,0.5
100,Frankfurt,Ginnheim,23.9,22.6,14.0,12.3,8.4,14.1,0.4
101,Frankfurt,Dornbusch,27.3,19.2,15.2,15.6,7.5,11.8,0.4
102,Frankfurt,Eschersheim,27.6,19.4,15.7,14.3,7.5,11.5,0.4
103,Frankfurt,Eckenheim,24.4,24.1,12.3,10.1,9.2,14.3,0.5
104,Frankfurt,Preungesheim,26.1,21.8,14.2,12.7,8.7,11.9,0.5
105,Frankfurt,Bonames,25.7,23.2,12.2,9.4,12.8,11.7,0.6
106,Frankfurt,Berkersheim,29.8,20.5,12.5,13.9,8.5,11.0,0.6
107,Frankfurt,Riederwald,17.5,29.6,9.7,5.5,13.1,18.8,0.7
108,Frankfurt,Seckbach,28.3,21.6,14.5,11.7,8.7,11.1,0.4
109,Frankfurt,Fechenheim,24.8,25.6,10.5,9.0,11.6,12.6,0.8
110,Frankfurt,Hchst,21.7,23.7,13.7,9.1,11.1,14.6,0.8
111,Frankfurt,Nied,26.7,24.5,8.8,10.2,14.2,10.5,0.6
112,Frankfurt,Sindlingen,29.3,25.9,8.1,8.2,13.6,9.0,0.7
113,Frankfurt,Zeilsheim,31.1,24.3,7.8,8.9,14.5,8.2,0.5
114,Frankfurt,Unterliederbach,28.6,24.1,10.1,10.4,11.6,10.2,0.4
115,Frankfurt,Sossenheim,30.2,22.7,8.1,10.1,13.6,9.7,0.6
116,Frankfurt,Nieder-Erlenbach,36.1,17.0,12.9,14.3,9.0,7.5,0.3
117,Frankfurt,Kalbach-Riedberg,33.6,16.9,12.8,18.3,7.4,7.2,0.4
118,Frankfurt,Harheim,33.9,19.0,11.8,13.1,10.2,7.4,0.1
119,Frankfurt,Nieder-Eschbach,30.2,21.1,11.1,10.5,12.8,9.4,0.5
120,Frankfurt,Bergen-Enkheim,30.4,20.0,11.7,15.1,10.0,8.5,0.3
121,Frankfurt,Frankfurter Berg,28.8,22.0,11.9,10.7,11.2,10.8,0.6
122,Frankfurt,Stadt insgesamt,26.4,20.1,14.6,14.1,8.6,11.9,0.5
123,Hamburg,Hamburg-Altstadt,21.3,23.2,19.0,10.7,7.2,13.4,0
124,Hamburg,HafenCity,15.2,29.8,15.8,8.1,5.6,23.1,0
125,Hamburg,Neustadt,20.8,19.9,18.6,19.3,6.0,9.7,0
126,Hamburg,St. Pauli,15.9,10.4,21.8,33.8,4.5,4.6,0
127,Hamburg,St. Georg,17.8,17.6,21.1,22.5,5.7,10.9,0
128,Hamburg,Hammerbrook,16.0,17.2,16.8,26.0,4.6,10.7,0
129,Hamburg,Borgfelde,22.2,22.6,15.3,16.5,8.4,9.4,0
130,Hamburg,Hamm,24.8,21.6,14.5,16.1,8.9,7.5,0
131,Hamburg,Horn,29.4,21.5,8.9,13.8,12.6,7.6,0
132,Hamburg,Billstedt,32.4,23.6,6.6,11.4,14.6,7.0,0
