,Stadt,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
313,Dresden,"04 Leipziger Vorstadt, Pieschen",19.0,8.0,15.0,9.0,11.0,24.0,0.0
314,Dresden,"04 Leipziger Vorstadt, Pieschen",13.0,8.0,15.0,7.0,11.0,29.0,1.0
315,Dresden,"04 Leipziger Vorstadt, Pieschen",14.0,9.0,10.0,8.0,20.0,25.0,2.0
316,Dresden,"04 Leipziger Vorstadt, Pieschen",19.0,10.0,12.0,7.0,17.0,20.0,1.0
317,Dresden,"04 Leipziger Vorstadt, Pieschen",13.0,10.0,14.0,6.0,18.0,22.0,2.0
318,Dresden,"04 Leipziger Vorstadt, Pieschen",16.0,10.0,13.0,4.0,19.0,23.0,1.0
319,Dresden,"04 Leipziger Vorstadt, Pieschen",16.0,8.0,12.0,7.0,22.0,21.0,1.0
320,Dresden,"05 Mickten, Kaditz, Trachau",26.0,9.0,8.0,8.0,18.0,17.0,1.0
321,Dresden,"05 Mickten, Kaditz, Trachau",26.0,8.0,7.0,9.0,21.0,16.0,0.0
322,Dresden,"05 Mickten, Kaditz, Trachau",18.0,10.0,8.0,6.0,25.0,21.0,0.0
323,Dresden,"05 Mickten, Kaditz, Trachau",18.0,10.0,4.0,7.0,30.0,17.0,1.0
324,Dresden,"05 Mickten, Kaditz, Trachau",20.0,8.0,4.0,6.0,25.0,21.0,1.0
325,Dresden,"05 Mickten, Kaditz, Trachau",20.0,10.0,1.0,7.0,33.0,16.0,0.0
326,Dresden,"05 Mickten, Kaditz, Trachau",23.0,7.0,4.0,10.0,31.0,14.0,0.0
327,Dresden,"05 Mickten, Kaditz, Trachau",19.0,9.0,7.0,8.0,24.0,17.0,0.0
328,Dresden,"05 Mickten, Kaditz, Trachau",19.0,9.0,4.0,8.0,31.0,17.0,0.0
329,Dresden,"05 Mickten, Kaditz, Trachau",19.0,9.0,2.0,8.0,35.0,16.0,1.0
330,Dresden,"05 Mickten, Kaditz, Trachau",33.0,7.0,4.0,10.0,23.0,13.0,0.0
331,Dresden,"05 Mickten, Kaditz, Trachau",20.0,7.0,5.0,10.0,32.0,15.0,0.0
332,Dresden,"05 Mickten, Kaditz, Trachau",15.0,8.0,6.0,9.0,31.0,18.0,0.0
333,Dresden,"05 Mickten, Kaditz, Trachau",30.0,6.0,5.0,9.0,32.0,10.0,0.0
334,Dresden,"05 Mickten, Kaditz, Trachau",21.0,11.0,2.0,9.0,33.0,13.0,0.0
335,Dresden,"05 Mickten, Kaditz, Trachau",27.0,11.0,10.0,10.0,14.0,18.0,0.0
336,Dresden,"05 Mickten, Kaditz, Trachau",30.0,12.0,7.0,7.0,19.0,16.0,0.0
337,Dresden,"05 Mickten, Kaditz, Trachau",21.0,10.0,6.0,7.0,24.0,19.0,0.0
338,Dresden,"05 Mickten, Kaditz, Trachau",22.0,11.0,10.0,10.0,17.0,20.0,0.0
339,Dresden,"05 Mickten, Kaditz, Trachau",24.0,10.0,10.0,7.0,20.0,18.0,0.0
340,Dresden,"05 Mickten, Kaditz, Trachau",22.0,10.0,9.0,10.0,22.0,18.0,0.0
341,Dresden,"05 Mickten, Kaditz, Trachau",22.0,10.0,4.0,8.0,28.0,19.0,0.0
342,Dresden,"05 Mickten, Kaditz, Trachau",24.0,8.0,6.0,6.0,27.0,19.0,0.0
343,Dresden,"05 Mickten, Kaditz, Trachau",25.0,10.0,6.0,9.0,29.0,13.0,0.0
344,Dresden,"04 Leipziger Vorstadt, Pieschen",26.0,10.0,9.0,9.0,13.0,18.0,1.0
345,Dresden,"04 Leipziger Vorstadt, Pieschen",26.0,11.0,9.0,9.0,15.0,16.0,0.0
346,Dresden,"04 Leipziger Vorstadt, Pieschen",20.0,7.0,8.0,7.0,21.0,24.0,1.0
347,Dresden,"04 Leipziger Vorstadt, Pieschen",18.0,11.0,10.0,8.0,16.0,20.0,1.0
348,Dresden,"04 Leipziger Vorstadt, Pieschen",24.0,10.0,3.0,7.0,30.0,14.0,0.0
349,Dresden,"04 Leipziger Vorstadt, Pieschen",19.0,9.0,7.0,7.0,22.0,18.0,1.0
350,Dresden,"04 Leipziger Vorstadt, Pieschen",20.0,9.0,7.0,8.0,22.0,21.0,0.0
351,Dresden,"04 Leipziger Vorstadt, Pieschen",21.0,10.0,9.0,10.0,21.0,17.0,0.0
352,Dresden,"04 Leipziger Vorstadt, Pieschen",21.0,10.0,7.0,9.0,26.0,19.0,0.0
353,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,10.0,5.0,9.0,22.0,19.0,0.0
354,Dresden,06 StB Klotzsche und n_rdliche OS,30.0,7.0,10.0,12.0,17.0,13.0,0.0
355,Dresden,06 StB Klotzsche und n_rdliche OS,30.0,8.0,5.0,9.0,21.0,16.0,0.0
356,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,8.0,8.0,10.0,23.0,14.0,0.0
357,Dresden,06 StB Klotzsche und n_rdliche OS,22.0,12.0,5.0,8.0,29.0,16.0,0.0
358,Dresden,06 StB Klotzsche und n_rdliche OS,23.0,7.0,3.0,9.0,29.0,20.0,0.0
359,Dresden,06 StB Klotzsche und n_rdliche OS,25.0,8.0,7.0,14.0,24.0,12.0,0.0
360,Dresden,06 StB Klotzsche und n_rdliche OS,24.0,10.0,9.0,11.0,25.0,13.0,0.0
361,Dresden,06 StB Klotzsche und n_rdliche OS,24.0,10.0,9.0,14.0,20.0,13.0,0.0
362,Dresden,06 StB Klotzsche und n_rdliche OS,29.0,8.0,9.0,11.0,22.0,12.0,0.0
363,Dresden,06 StB Klotzsche und n_rdliche OS,23.0,7.0,4.0,11.0,26.0,21.0,1.0
364,Dresden,06 StB Klotzsche und n_rdliche OS,22.0,10.0,4.0,8.0,30.0,19.0,1.0
365,Dresden,06 StB Klotzsche und n_rdliche OS,19.0,7.0,4.0,5.0,31.0,22.0,0.0
366,Dresden,06 StB Klotzsche und n_rdliche OS,33.0,9.0,4.0,10.0,26.0,10.0,0.0
367,Dresden,06 StB Klotzsche und n_rdliche OS,31.0,9.0,10.0,10.0,16.0,15.0,0.0
368,Dresden,06 StB Klotzsche und n_rdliche OS,26.0,5.0,5.0,11.0,34.0,11.0,0.0
369,Dresden,06 StB Klotzsche und n_rdliche OS,25.0,6.0,4.0,11.0,37.0,10.0,0.0
370,Dresden,06 StB Klotzsche und n_rdliche OS,25.0,8.0,3.0,11.0,30.0,16.0,0.0
371,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,9.0,8.0,10.0,25.0,13.0,0.0
372,Dresden,06 StB Klotzsche und n_rdliche OS,22.0,10.0,12.0,8.0,23.0,16.0,0.0
373,Dresden,06 StB Klotzsche und n_rdliche OS,30.0,7.0,5.0,11.0,21.0,15.0,0.0
374,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,9.0,6.0,13.0,26.0,11.0,0.0
375,Dresden,06 StB Klotzsche und n_rdliche OS,29.0,7.0,6.0,8.0,31.0,12.0,1.0
376,Dresden,06 StB Klotzsche und n_rdliche OS,22.0,8.0,6.0,12.0,30.0,11.0,0.0
377,Dresden,06 StB Klotzsche und n_rdliche OS,29.0,7.0,4.0,11.0,33.0,9.0,0.0
378,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,5.0,2.0,10.0,31.0,15.0,0.0
379,Dresden,06 StB Klotzsche und n_rdliche OS,29.0,10.0,9.0,13.0,17.0,14.0,0.0
380,Dresden,06 StB Klotzsche und n_rdliche OS,27.0,10.0,5.0,9.0,31.0,10.0,0.0
381,Dresden,06 StB Klotzsche und n_rdliche OS,25.0,9.0,9.0,14.0,21.0,13.0,0.0
382,Dresden,06 StB Klotzsche und n_rdliche OS,23.0,10.0,8.0,11.0,26.0,15.0,0.0
383,Dresden,06 StB Klotzsche und n_rdliche OS,23.0,6.0,5.0,8.0,35.0,13.0,0.0
384,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29.0,8.0,14.0,16.0,13.0,13.0,0.0
385,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32.0,8.0,10.0,18.0,14.0,11.0,0.0
386,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,22.0,8.0,13.0,16.0,21.0,14.0,0.0
387,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32.0,10.0,11.0,12.0,15.0,13.0,0.0
388,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25.0,9.0,14.0,17.0,19.0,9.0,0.0
389,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,21.0,6.0,13.0,13.0,25.0,14.0,0.0
390,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33.0,9.0,13.0,13.0,11.0,13.0,0.0
391,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,31.0,13.0,10.0,10.0,13.0,14.0,0.0
392,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33.0,8.0,9.0,12.0,16.0,13.0,0.0
393,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28.0,10.0,12.0,13.0,13.0,15.0,0.0
394,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26.0,9.0,14.0,12.0,19.0,13.0,0.0
395,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28.0,11.0,10.0,11.0,18.0,13.0,0.0
396,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29.0,9.0,8.0,8.0,23.0,14.0,0.0
397,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29.0,8.0,10.0,11.0,24.0,12.0,0.0
398,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24.0,8.0,8.0,12.0,26.0,14.0,0.0
399,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30.0,10.0,10.0,8.0,21.0,13.0,0.0
400,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25.0,8.0,9.0,13.0,21.0,17.0,0.0
401,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28.0,11.0,12.0,9.0,19.0,13.0,0.0
402,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,20.0,5.0,10.0,14.0,29.0,14.0,0.0
403,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,21.0,10.0,10.0,11.0,28.0,11.0,0.0
404,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,23.0,10.0,6.0,8.0,31.0,15.0,0.0
405,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33.0,8.0,6.0,11.0,19.0,13.0,0.0
406,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29.0,10.0,6.0,11.0,25.0,12.0,0.0
407,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,27.0,10.0,2.0,8.0,34.0,10.0,0.0
408,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24.0,10.0,4.0,8.0,29.0,14.0,0.0
409,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,27.0,8.0,6.0,12.0,28.0,11.0,0.0
410,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32.0,8.0,6.0,10.0,27.0,8.0,0.0
411,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,34.0,7.0,8.0,15.0,19.0,8.0,0.0
412,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30.0,9.0,5.0,17.0,23.0,10.0,0.0
413,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,23.0,7.0,3.0,14.0,32.0,11.0,0.0
414,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26.0,11.0,6.0,13.0,23.0,13.0,0.0
415,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24.0,7.0,5.0,12.0,34.0,9.0,0.0
416,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30.0,5.0,6.0,14.0,24.0,11.0,0.0
417,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30.0,7.0,5.0,10.0,30.0,10.0,0.0
418,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25.0,6.0,2.0,9.0,42.0,8.0,0.0
419,Dresden,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26.0,5.0,7.0,11.0,34.0,9.0,0.0
420,Dresden,"08 Blasewitz, Striesen",32.0,11.0,9.0,14.0,14.0,14.0,0.0
421,Dresden,"08 Blasewitz, Striesen",32.0,11.0,11.0,10.0,12.0,15.0,0.0
422,Dresden,"08 Blasewitz, Striesen",28.0,9.0,9.0,13.0,19.0,13.0,0.0
423,Dresden,"08 Blasewitz, Striesen",31.0,11.0,9.0,13.0,16.0,12.0,0.0
424,Dresden,"08 Blasewitz, Striesen",28.0,9.0,9.0,14.0,19.0,12.0,0.0
425,Dresden,"08 Blasewitz, Striesen",21.0,11.0,14.0,12.0,18.0,16.0,0.0
426,Dresden,"08 Blasewitz, Striesen",26.0,10.0,11.0,12.0,19.0,14.0,0.0
427,Dresden,"08 Blasewitz, Striesen",24.0,8.0,14.0,10.0,19.0,16.0,1.0
428,Dresden,"08 Blasewitz, Striesen",30.0,10.0,14.0,11.0,12.0,13.0,0.0
429,Dresden,"08 Blasewitz, Striesen",27.0,10.0,19.0,12.0,9.0,13.0,0.0
430,Dresden,"08 Blasewitz, Striesen",29.0,8.0,17.0,10.0,10.0,14.0,0.0
431,Dresden,"08 Blasewitz, Striesen",24.0,11.0,21.0,12.0,11.0,12.0,0.0
432,Dresden,"08 Blasewitz, Striesen",23.0,10.0,17.0,12.0,14.0,15.0,0.0
433,Dresden,"08 Blasewitz, Striesen",25.0,11.0,19.0,8.0,13.0,17.0,0.0
434,Dresden,"08 Blasewitz, Striesen",27.0,10.0,13.0,12.0,14.0,14.0,0.0
435,Dresden,"08 Blasewitz, Striesen",23.0,12.0,13.0,13.0,18.0,12.0,0.0
436,Dresden,"08 Blasewitz, Striesen",25.0,9.0,16.0,14.0,15.0,13.0,0.0
437,Dresden,"08 Blasewitz, Striesen",24.0,10.0,13.0,10.0,19.0,14.0,0.0
438,Dresden,"08 Blasewitz, Striesen",26.0,11.0,9.0,10.0,18.0,17.0,0.0
439,Dresden,"08 Blasewitz, Striesen",27.0,11.0,7.0,11.0,24.0,12.0,0.0
440,Dresden,"08 Blasewitz, Striesen",27.0,12.0,9.0,10.0,15.0,16.0,0.0
441,Dresden,"08 Blasewitz, Striesen",29.0,14.0,7.0,9.0,17.0,17.0,0.0
442,Dresden,"08 Blasewitz, Striesen",28.0,12.0,8.0,8.0,16.0,17.0,0.0
443,Dresden,"08 Blasewitz, Striesen",27.0,11.0,12.0,12.0,16.0,15.0,0.0
444,Dresden,"08 Blasewitz, Striesen",21.0,11.0,11.0,9.0,19.0,18.0,0.0
445,Dresden,"08 Blasewitz, Striesen",18.0,8.0,6.0,10.0,25.0,23.0,1.0
446,Dresden,"08 Blasewitz, Striesen",24.0,14.0,4.0,8.0,26.0,17.0,0.0
447,Dresden,"08 Blasewitz, Striesen",23.0,11.0,6.0,12.0,23.0,16.0,0.0
448,Dresden,"08 Blasewitz, Striesen",19.0,9.0,6.0,10.0,29.0,16.0,0.0
449,Dresden,"08 Blasewitz, Striesen",22.0,9.0,8.0,10.0,21.0,19.0,1.0
450,Dresden,"08 Blasewitz, Striesen",33.0,11.0,10.0,10.0,11.0,15.0,0.0
451,Dresden,"08 Blasewitz, Striesen",27.0,11.0,9.0,11.0,16.0,16.0,1.0
452,Dresden,"08 Blasewitz, Striesen",30.0,10.0,9.0,10.0,15.0,16.0,0.0
453,Dresden,"08 Blasewitz, Striesen",24.0,13.0,10.0,10.0,18.0,16.0,1.0
454,Dresden,"08 Blasewitz, Striesen",20.0,10.0,13.0,12.0,16.0,17.0,1.0
455,Dresden,"08 Blasewitz, Striesen",24.0,14.0,4.0,10.0,22.0,16.0,0.0
456,Dresden,"08 Blasewitz, Striesen",27.0,10.0,5.0,11.0,24.0,15.0,0.0
457,Dresden,"08 Blasewitz, Striesen",28.0,11.0,7.0,11.0,21.0,13.0,0.0
458,Dresden,"08 Blasewitz, Striesen",26.0,11.0,7.0,13.0,19.0,14.0,0.0
459,Dresden,"08 Blasewitz, Striesen",23.0,12.0,8.0,8.0,23.0,18.0,0.0
460,Dresden,"09 Tolkewitz, Seidnitz, Gruna",29.0,10.0,6.0,8.0,20.0,18.0,0.0
461,Dresden,"09 Tolkewitz, Seidnitz, Gruna",24.0,13.0,6.0,10.0,20.0,17.0,0.0
462,Dresden,"09 Tolkewitz, Seidnitz, Gruna",22.0,8.0,8.0,9.0,28.0,14.0,0.0
463,Dresden,"09 Tolkewitz, Seidnitz, Gruna",19.0,8.0,11.0,9.0,26.0,18.0,0.0
464,Dresden,"09 Tolkewitz, Seidnitz, Gruna",22.0,10.0,5.0,8.0,28.0,16.0,0.0
465,Dresden,"09 Tolkewitz, Seidnitz, Gruna",25.0,10.0,3.0,9.0,29.0,15.0,0.0
466,Dresden,"09 Tolkewitz, Seidnitz, Gruna",19.0,10.0,1.0,6.0,36.0,18.0,1.0
467,Dresden,"09 Tolkewitz, Seidnitz, Gruna",21.0,10.0,4.0,12.0,26.0,16.0,1.0
468,Dresden,"09 Tolkewitz, Seidnitz, Gruna",23.0,10.0,5.0,11.0,27.0,14.0,0.0
469,Dresden,"09 Tolkewitz, Seidnitz, Gruna",29.0,9.0,4.0,10.0,22.0,16.0,0.0
470,Dresden,"09 Tolkewitz, Seidnitz, Gruna",26.0,9.0,5.0,9.0,21.0,18.0,0.0
471,Dresden,"09 Tolkewitz, Seidnitz, Gruna",18.0,10.0,3.0,11.0,32.0,15.0,0.0
472,Dresden,"09 Tolkewitz, Seidnitz, Gruna",16.0,11.0,2.0,9.0,34.0,16.0,1.0
473,Dresden,"09 Tolkewitz, Seidnitz, Gruna",23.0,10.0,4.0,8.0,28.0,17.0,0.0
474,Dresden,"09 Tolkewitz, Seidnitz, Gruna",18.0,7.0,6.0,12.0,33.0,13.0,0.0
475,Dresden,"09 Tolkewitz, Seidnitz, Gruna",22.0,9.0,4.0,9.0,31.0,16.0,0.0
476,Dresden,"09 Tolkewitz, Seidnitz, Gruna",22.0,6.0,4.0,7.0,33.0,18.0,0.0
477,Dresden,"09 Tolkewitz, Seidnitz, Gruna",23.0,10.0,3.0,10.0,31.0,14.0,0.0
478,Dresden,"09 Tolkewitz, Seidnitz, Gruna",23.0,8.0,4.0,10.0,33.0,12.0,0.0
479,Dresden,"09 Tolkewitz, Seidnitz, Gruna",24.0,11.0,3.0,5.0,28.0,19.0,0.0
480,Dresden,"09 Tolkewitz, Seidnitz, Gruna",21.0,10.0,2.0,7.0,27.0,22.0,0.0
481,Dresden,"09 Tolkewitz, Seidnitz, Gruna",27.0,11.0,9.0,8.0,15.0,20.0,0.0
482,Dresden,"09 Tolkewitz, Seidnitz, Gruna",32.0,12.0,7.0,10.0,15.0,16.0,0.0
483,Dresden,"09 Tolkewitz, Seidnitz, Gruna",29.0,8.0,9.0,11.0,17.0,16.0,0.0
484,Dresden,"09 Tolkewitz, Seidnitz, Gruna",25.0,4.0,7.0,9.0,25.0,19.0,1.0
485,Dresden,"09 Tolkewitz, Seidnitz, Gruna",19.0,11.0,8.0,8.0,23.0,20.0,0.0
486,Dresden,"09 Tolkewitz, Seidnitz, Gruna",23.0,11.0,6.0,10.0,26.0,16.0,1.0
487,Dresden,"09 Tolkewitz, Seidnitz, Gruna",19.0,11.0,5.0,13.0,26.0,20.0,0.0
488,Dresden,"09 Tolkewitz, Seidnitz, Gruna",21.0,10.0,8.0,7.0,27.0,18.0,1.0
489,Dresden,"09 Tolkewitz, Seidnitz, Gruna",18.0,8.0,6.0,8.0,26.0,24.0,0.0
490,Dresden,"09 Tolkewitz, Seidnitz, Gruna",21.0,11.0,4.0,10.0,25.0,18.0,0.0
491,Dresden,"09 Tolkewitz, Seidnitz, Gruna",21.0,9.0,10.0,8.0,26.0,16.0,0.0
492,Dresden,"09 Tolkewitz, Seidnitz, Gruna",26.0,9.0,7.0,13.0,23.0,14.0,0.0
493,Dresden,10 StB Leuben,28.0,9.0,3.0,9.0,25.0,16.0,0.0
494,Dresden,10 StB Leuben,29.0,8.0,3.0,6.0,23.0,19.0,0.0
495,Dresden,10 StB Leuben,27.0,12.0,2.0,8.0,23.0,18.0,0.0
496,Dresden,10 StB Leuben,26.0,6.0,6.0,9.0,31.0,11.0,0.0
497,Dresden,10 StB Leuben,26.0,8.0,3.0,9.0,28.0,18.0,0.0
498,Dresden,10 StB Leuben,20.0,9.0,5.0,7.0,35.0,11.0,0.0
499,Dresden,10 StB Leuben,23.0,10.0,3.0,8.0,29.0,18.0,0.0
500,Dresden,10 StB Leuben,21.0,9.0,4.0,9.0,28.0,20.0,0.0
501,Dresden,10 StB Leuben,17.0,12.0,2.0,6.0,35.0,18.0,0.0
502,Dresden,10 StB Leuben,16.0,10.0,2.0,6.0,34.0,19.0,1.0
503,Dresden,10 StB Leuben,29.0,9.0,5.0,10.0,18.0,19.0,0.0
504,Dresden,10 StB Leuben,28.0,10.0,10.0,11.0,16.0,15.0,0.0
505,Dresden,10 StB Leuben,27.0,10.0,6.0,11.0,23.0,14.0,0.0
506,Dresden,10 StB Leuben,18.0,9.0,6.0,12.0,28.0,17.0,0.0
507,Dresden,10 StB Leuben,23.0,8.0,6.0,15.0,26.0,12.0,1.0
508,Dresden,10 StB Leuben,22.0,8.0,4.0,9.0,33.0,16.0,0.0
509,Dresden,10 StB Leuben,22.0,9.0,4.0,10.0,32.0,15.0,0.0
510,Dresden,10 StB Leuben,30.0,8.0,3.0,11.0,28.0,13.0,0.0
511,Dresden,10 StB Leuben,20.0,9.0,10.0,10.0,28.0,15.0,0.0
512,Dresden,10 StB Leuben,24.0,8.0,4.0,12.0,31.0,13.0,0.0
513,Dresden,10 StB Leuben,19.0,8.0,3.0,10.0,34.0,16.0,0.0
514,Dresden,10 StB Leuben,19.0,9.0,7.0,6.0,36.0,16.0,0.0
515,Dresden,10 StB Leuben,33.0,8.0,10.0,14.0,18.0,10.0,0.0
516,Dresden,10 StB Leuben,31.0,8.0,5.0,9.0,22.0,15.0,0.0
517,Dresden,10 StB Leuben,26.0,7.0,6.0,14.0,26.0,13.0,0.0
518,Dresden,10 StB Leuben,24.0,7.0,7.0,9.0,33.0,12.0,0.0
519,Dresden,10 StB Leuben,27.0,7.0,10.0,11.0,27.0,11.0,0.0
520,Dresden,10 StB Leuben,25.0,7.0,7.0,10.0,31.0,11.0,0.0
521,Dresden,10 StB Leuben,24.0,7.0,5.0,11.0,33.0,10.0,0.0
522,Dresden,10 StB Leuben,30.0,7.0,5.0,12.0,30.0,10.0,0.0
523,Dresden,10 StB Leuben,23.0,8.0,3.0,13.0,34.0,11.0,0.0
524,Dresden,10 StB Leuben,24.0,9.0,4.0,11.0,23.0,17.0,0.0
525,Dresden,10 StB Leuben,23.0,5.0,4.0,12.0,34.0,11.0,0.0
526,Dresden,10 StB Leuben,17.0,11.0,2.0,7.0,38.0,15.0,1.0
527,Dresden,10 StB Leuben,19.0,10.0,3.0,8.0,35.0,16.0,0.0
528,Dresden,10 StB Leuben,21.0,9.0,5.0,5.0,30.0,20.0,1.0
529,Dresden,10 StB Leuben,28.0,8.0,5.0,7.0,30.0,13.0,1.0
530,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25.0,10.0,4.0,8.0,24.0,18.0,0.0
531,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25.0,8.0,3.0,8.0,30.0,16.0,0.0
532,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",19.0,9.0,2.0,5.0,37.0,18.0,0.0
533,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",19.0,10.0,1.0,4.0,35.0,21.0,0.0
534,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",23.0,10.0,1.0,4.0,35.0,16.0,0.0
535,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25.0,10.0,3.0,7.0,23.0,22.0,0.0
536,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",21.0,11.0,1.0,4.0,35.0,20.0,1.0
537,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",14.0,12.0,2.0,5.0,37.0,21.0,0.0
538,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",16.0,10.0,2.0,5.0,38.0,18.0,1.0
539,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",22.0,9.0,1.0,6.0,38.0,14.0,0.0
540,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",18.0,8.0,3.0,6.0,31.0,24.0,0.0
541,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",29.0,9.0,5.0,12.0,22.0,14.0,0.0
542,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21.0,7.0,3.0,15.0,31.0,13.0,0.0
543,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21.0,8.0,3.0,11.0,32.0,16.0,0.0
544,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23.0,9.0,5.0,13.0,33.0,10.0,0.0
545,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22.0,8.0,3.0,9.0,39.0,14.0,0.0
546,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",32.0,9.0,6.0,12.0,19.0,15.0,0.0
547,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22.0,6.0,3.0,13.0,39.0,9.0,0.0
548,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25.0,8.0,4.0,11.0,34.0,12.0,0.0
549,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27.0,8.0,5.0,11.0,31.0,9.0,0.0
550,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25.0,8.0,5.0,11.0,31.0,11.0,0.0
551,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24.0,6.0,4.0,12.0,32.0,14.0,0.0
552,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",31.0,8.0,6.0,11.0,20.0,14.0,0.0
553,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27.0,13.0,9.0,9.0,17.0,16.0,0.0
554,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",26.0,10.0,6.0,12.0,19.0,17.0,0.0
555,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22.0,9.0,3.0,12.0,28.0,18.0,0.0
556,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",29.0,9.0,7.0,12.0,23.0,14.0,0.0
557,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",28.0,10.0,4.0,10.0,28.0,13.0,0.0
558,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",14.0,11.0,3.0,2.0,37.0,23.0,0.0
