,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
42,2017,Bundestagswahl,7300,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1240,331,655,1,644,187,75,110,25,63,9,138,3,34,11
43,2017,Bundestagswahl,7401,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,966,206,569,0,564,137,52,101,17,49,5,178,3,22,5
44,2017,Bundestagswahl,7402,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,648,172,290,0,280,81,42,53,6,23,0,68,1,6,10
45,2017,Bundestagswahl,7500,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1274,322,610,0,600,130,69,121,22,52,2,164,5,35,10
46,2017,Bundestagswahl,7600,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,956,274,466,0,460,97,62,94,13,41,1,135,2,15,6
47,2017,Bundestagswahl,7700,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,890,209,466,2,457,84,44,129,19,17,2,128,4,30,9
48,2017,Bundestagswahl,7800,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,979,165,528,1,523,118,57,114,21,33,4,154,3,19,5
49,2017,Bundestagswahl,7900,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,971,212,528,0,517,151,52,97,11,45,2,137,0,22,11
50,2017,Bundestagswahl,11001,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,959,959,956,127,93,281,251,64,1,48,16,75,3
51,2017,Bundestagswahl,11002,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,832,832,829,128,99,220,168,73,1,33,14,93,3
52,2017,Bundestagswahl,11003,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,1234,1234,1230,167,146,361,327,59,0,38,14,118,4
53,2017,Bundestagswahl,11004,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,972,972,968,115,122,283,246,66,0,37,16,83,4
54,2017,Bundestagswahl,11100,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1657,558,779,2,776,80,74,248,185,51,4,44,7,83,3
55,2017,Bundestagswahl,11200,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1311,457,685,10,684,78,84,197,139,51,2,38,17,78,1
56,2017,Bundestagswahl,11300,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1333,370,743,8,737,93,83,210,129,64,3,62,17,76,6
57,2017,Bundestagswahl,11400,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1768,511,947,1,937,117,89,277,172,57,5,80,21,119,10
58,2017,Bundestagswahl,11500,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1548,495,865,5,861,110,76,250,207,46,2,64,16,90,4
59,2017,Bundestagswahl,11601,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1177,334,726,7,720,80,67,239,176,42,1,42,8,65,6
60,2017,Bundestagswahl,11602,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1403,471,793,9,787,79,89,243,197,56,0,42,12,69,6
61,2017,Bundestagswahl,11700,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1404,454,798,3,795,75,86,241,198,34,1,64,12,84,3
62,2017,Bundestagswahl,11800,11 óu_ere Neustadt (Antonstadt),03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1577,562,792,7,789,84,88,251,164,41,4,56,10,91,3
