CDU,SPD,GrÃ¼ne,FDP,AfD,Linke,Unnamed: 0,Stadtteilname,Piraten
23,7,4,10,31,14,104.0,5.0,0.0
19,9,7,8,24,17,105.0,5.0,0.0
19,9,4,8,31,17,106.0,5.0,0.0
19,9,2,8,35,16,107.0,5.0,1.0
33,7,4,10,23,13,108.0,5.0,0.0
20,7,5,10,32,15,109.0,5.0,0.0
15,8,6,9,31,18,110.0,5.0,0.0
30,6,5,9,32,10,111.0,5.0,0.0
21,11,2,9,33,13,112.0,5.0,0.0
27,11,10,10,14,18,113.0,5.0,0.0
30,12,7,7,19,16,114.0,5.0,0.0
21,10,6,7,24,19,115.0,5.0,0.0
22,11,10,10,17,20,116.0,5.0,0.0
24,10,10,7,20,18,117.0,5.0,0.0
22,10,9,10,22,18,118.0,5.0,0.0
22,10,4,8,28,19,119.0,5.0,0.0
24,8,6,6,27,19,120.0,5.0,0.0
25,10,6,9,29,13,121.0,5.0,0.0
26,10,9,9,13,18,122.0,4.0,1.0
26,11,9,9,15,16,123.0,4.0,0.0
20,7,8,7,21,24,124.0,4.0,1.0
18,11,10,8,16,20,125.0,4.0,1.0
24,10,3,7,30,14,126.0,4.0,0.0
19,9,7,7,22,18,127.0,4.0,1.0
20,9,7,8,22,21,128.0,4.0,0.0
21,10,9,10,21,17,129.0,4.0,0.0
21,10,7,9,26,19,130.0,4.0,0.0
27,10,5,9,22,19,131.0,6.0,0.0
30,7,10,12,17,13,132.0,6.0,0.0
30,8,5,9,21,16,133.0,6.0,0.0
27,8,8,10,23,14,134.0,6.0,0.0
22,12,5,8,29,16,135.0,6.0,0.0
23,7,3,9,29,20,136.0,6.0,0.0
25,8,7,14,24,12,137.0,6.0,0.0
24,10,9,11,25,13,138.0,6.0,0.0
24,10,9,14,20,13,139.0,6.0,0.0
29,8,9,11,22,12,140.0,6.0,0.0
23,7,4,11,26,21,141.0,6.0,1.0
22,10,4,8,30,19,142.0,6.0,1.0
19,7,4,5,31,22,143.0,6.0,0.0
33,9,4,10,26,10,144.0,6.0,0.0
31,9,10,10,16,15,145.0,6.0,0.0
26,5,5,11,34,11,146.0,6.0,0.0
25,6,4,11,37,10,147.0,6.0,0.0
25,8,3,11,30,16,148.0,6.0,0.0
27,9,8,10,25,13,149.0,6.0,0.0
22,10,12,8,23,16,150.0,6.0,0.0
30,7,5,11,21,15,151.0,6.0,0.0
27,9,6,13,26,11,152.0,6.0,0.0
29,7,6,8,31,12,153.0,6.0,1.0
22,8,6,12,30,11,154.0,6.0,0.0
29,7,4,11,33,9,155.0,6.0,0.0
27,5,2,10,31,15,156.0,6.0,0.0
29,10,9,13,17,14,157.0,6.0,0.0
27,10,5,9,31,10,158.0,6.0,0.0
25,9,9,14,21,13,159.0,6.0,0.0
23,10,8,11,26,15,160.0,6.0,0.0
23,6,5,8,35,13,161.0,6.0,0.0
29,8,14,16,13,13,162.0,7.0,0.0
32,8,10,18,14,11,163.0,7.0,0.0
22,8,13,16,21,14,164.0,7.0,0.0
32,10,11,12,15,13,165.0,7.0,0.0
25,9,14,17,19,9,166.0,7.0,0.0
21,6,13,13,25,14,167.0,7.0,0.0
33,9,13,13,11,13,168.0,7.0,0.0
31,13,10,10,13,14,169.0,7.0,0.0
33,8,9,12,16,13,170.0,7.0,0.0
28,10,12,13,13,15,171.0,7.0,0.0
26,9,14,12,19,13,172.0,7.0,0.0
28,11,10,11,18,13,173.0,7.0,0.0
29,9,8,8,23,14,174.0,7.0,0.0
29,8,10,11,24,12,175.0,7.0,0.0
24,8,8,12,26,14,176.0,7.0,0.0
30,10,10,8,21,13,177.0,7.0,0.0
25,8,9,13,21,17,178.0,7.0,0.0
28,11,12,9,19,13,179.0,7.0,0.0
20,5,10,14,29,14,180.0,7.0,0.0
21,10,10,11,28,11,181.0,7.0,0.0
23,10,6,8,31,15,182.0,7.0,0.0
33,8,6,11,19,13,183.0,7.0,0.0
29,10,6,11,25,12,184.0,7.0,0.0
27,10,2,8,34,10,185.0,7.0,0.0
24,10,4,8,29,14,186.0,7.0,0.0
27,8,6,12,28,11,187.0,7.0,0.0
32,8,6,10,27,8,188.0,7.0,0.0
34,7,8,15,19,8,189.0,7.0,0.0
30,9,5,17,23,10,190.0,7.0,0.0
23,7,3,14,32,11,191.0,7.0,0.0
26,11,6,13,23,13,192.0,7.0,0.0
24,7,5,12,34,9,193.0,7.0,0.0
30,5,6,14,24,11,194.0,7.0,0.0
30,7,5,10,30,10,195.0,7.0,0.0
25,6,2,9,42,8,196.0,7.0,0.0
26,5,7,11,34,9,197.0,7.0,0.0
32,11,9,14,14,14,198.0,8.0,0.0
32,11,11,10,12,15,199.0,8.0,0.0
28,9,9,13,19,13,200.0,8.0,0.0
31,11,9,13,16,12,201.0,8.0,0.0
28,9,9,14,19,12,202.0,8.0,0.0
21,11,14,12,18,16,203.0,8.0,0.0
26,10,11,12,19,14,204.0,8.0,0.0
24,8,14,10,19,16,205.0,8.0,1.0
30,10,14,11,12,13,206.0,8.0,0.0
27,10,19,12,9,13,207.0,8.0,0.0
29,8,17,10,10,14,208.0,8.0,0.0
24,11,21,12,11,12,209.0,8.0,0.0
23,10,17,12,14,15,210.0,8.0,0.0
25,11,19,8,13,17,211.0,8.0,0.0
27,10,13,12,14,14,212.0,8.0,0.0
23,12,13,13,18,12,213.0,8.0,0.0
25,9,16,14,15,13,214.0,8.0,0.0
24,10,13,10,19,14,215.0,8.0,0.0
26,11,9,10,18,17,216.0,8.0,0.0
27,11,7,11,24,12,217.0,8.0,0.0
27,12,9,10,15,16,218.0,8.0,0.0
29,14,7,9,17,17,219.0,8.0,0.0
28,12,8,8,16,17,220.0,8.0,0.0
27,11,12,12,16,15,221.0,8.0,0.0
21,11,11,9,19,18,222.0,8.0,0.0
18,8,6,10,25,23,223.0,8.0,1.0
24,14,4,8,26,17,224.0,8.0,0.0
23,11,6,12,23,16,225.0,8.0,0.0
19,9,6,10,29,16,226.0,8.0,0.0
22,9,8,10,21,19,227.0,8.0,1.0
33,11,10,10,11,15,228.0,8.0,0.0
27,11,9,11,16,16,229.0,8.0,1.0
30,10,9,10,15,16,230.0,8.0,0.0
24,13,10,10,18,16,231.0,8.0,1.0
20,10,13,12,16,17,232.0,8.0,1.0
24,14,4,10,22,16,233.0,8.0,0.0
27,10,5,11,24,15,234.0,8.0,0.0
28,11,7,11,21,13,235.0,8.0,0.0
26,11,7,13,19,14,236.0,8.0,0.0
23,12,8,8,23,18,237.0,8.0,0.0
29,10,6,8,20,18,238.0,9.0,0.0
24,13,6,10,20,17,239.0,9.0,0.0
22,8,8,9,28,14,240.0,9.0,0.0
19,8,11,9,26,18,241.0,9.0,0.0
22,10,5,8,28,16,242.0,9.0,0.0
25,10,3,9,29,15,243.0,9.0,0.0
19,10,1,6,36,18,244.0,9.0,1.0
21,10,4,12,26,16,245.0,9.0,1.0
23,10,5,11,27,14,246.0,9.0,0.0
29,9,4,10,22,16,247.0,9.0,0.0
26,9,5,9,21,18,248.0,9.0,0.0
18,10,3,11,32,15,249.0,9.0,0.0
16,11,2,9,34,16,250.0,9.0,1.0
23,10,4,8,28,17,251.0,9.0,0.0
18,7,6,12,33,13,252.0,9.0,0.0
22,9,4,9,31,16,253.0,9.0,0.0
22,6,4,7,33,18,254.0,9.0,0.0
23,10,3,10,31,14,255.0,9.0,0.0
23,8,4,10,33,12,256.0,9.0,0.0
24,11,3,5,28,19,257.0,9.0,0.0
21,10,2,7,27,22,258.0,9.0,0.0
27,11,9,8,15,20,259.0,9.0,0.0
32,12,7,10,15,16,260.0,9.0,0.0
29,8,9,11,17,16,261.0,9.0,0.0
25,4,7,9,25,19,262.0,9.0,1.0
19,11,8,8,23,20,263.0,9.0,0.0
23,11,6,10,26,16,264.0,9.0,1.0
19,11,5,13,26,20,265.0,9.0,0.0
21,10,8,7,27,18,266.0,9.0,1.0
18,8,6,8,26,24,267.0,9.0,0.0
21,11,4,10,25,18,268.0,9.0,0.0
21,9,10,8,26,16,269.0,9.0,0.0
26,9,7,13,23,14,270.0,9.0,0.0
28,9,3,9,25,16,271.0,10.0,0.0
29,8,3,6,23,19,272.0,10.0,0.0
27,12,2,8,23,18,273.0,10.0,0.0
26,6,6,9,31,11,274.0,10.0,0.0
26,8,3,9,28,18,275.0,10.0,0.0
20,9,5,7,35,11,276.0,10.0,0.0
23,10,3,8,29,18,277.0,10.0,0.0
21,9,4,9,28,20,278.0,10.0,0.0
17,12,2,6,35,18,279.0,10.0,0.0
16,10,2,6,34,19,280.0,10.0,1.0
29,9,5,10,18,19,281.0,10.0,0.0
28,10,10,11,16,15,282.0,10.0,0.0
27,10,6,11,23,14,283.0,10.0,0.0
18,9,6,12,28,17,284.0,10.0,0.0
23,8,6,15,26,12,285.0,10.0,1.0
22,8,4,9,33,16,286.0,10.0,0.0
22,9,4,10,32,15,287.0,10.0,0.0
30,8,3,11,28,13,288.0,10.0,0.0
20,9,10,10,28,15,289.0,10.0,0.0
24,8,4,12,31,13,290.0,10.0,0.0
19,8,3,10,34,16,291.0,10.0,0.0
19,9,7,6,36,16,292.0,10.0,0.0
33,8,10,14,18,10,293.0,10.0,0.0
31,8,5,9,22,15,294.0,10.0,0.0
26,7,6,14,26,13,295.0,10.0,0.0
24,7,7,9,33,12,296.0,10.0,0.0
27,7,10,11,27,11,297.0,10.0,0.0
25,7,7,10,31,11,298.0,10.0,0.0
24,7,5,11,33,10,299.0,10.0,0.0
30,7,5,12,30,10,300.0,10.0,0.0
23,8,3,13,34,11,301.0,10.0,0.0
24,9,4,11,23,17,302.0,10.0,0.0
23,5,4,12,34,11,303.0,10.0,0.0
17,11,2,7,38,15,304.0,10.0,1.0
19,10,3,8,35,16,305.0,10.0,0.0
21,9,5,5,30,20,306.0,10.0,1.0
28,8,5,7,30,13,307.0,10.0,1.0
25,10,4,8,24,18,308.0,11.0,0.0
25,8,3,8,30,16,309.0,11.0,0.0
19,9,2,5,37,18,310.0,11.0,0.0
19,10,1,4,35,21,311.0,11.0,0.0
23,10,1,4,35,16,312.0,11.0,0.0
25,10,3,7,23,22,313.0,11.0,0.0
21,11,1,4,35,20,314.0,11.0,1.0
14,12,2,5,37,21,315.0,11.0,0.0
16,10,2,5,38,18,316.0,11.0,1.0
22,9,1,6,38,14,317.0,11.0,0.0
18,8,3,6,31,24,318.0,11.0,0.0
29,9,5,12,22,14,319.0,12.0,0.0
21,7,3,15,31,13,320.0,12.0,0.0
21,8,3,11,32,16,321.0,12.0,0.0
23,9,5,13,33,10,322.0,12.0,0.0
22,8,3,9,39,14,323.0,12.0,0.0
32,9,6,12,19,15,324.0,12.0,0.0
22,6,3,13,39,9,325.0,12.0,0.0
25,8,4,11,34,12,326.0,12.0,0.0
27,8,5,11,31,9,327.0,12.0,0.0
25,8,5,11,31,11,328.0,12.0,0.0
24,6,4,12,32,14,329.0,12.0,0.0
31,8,6,11,20,14,330.0,12.0,0.0
27,13,9,9,17,16,331.0,12.0,0.0
26,10,6,12,19,17,332.0,12.0,0.0
22,9,3,12,28,18,333.0,12.0,0.0
29,9,7,12,23,14,334.0,12.0,0.0
28,10,4,10,28,13,335.0,12.0,0.0
14,11,3,2,37,23,336.0,12.0,0.0
25,8,8,10,26,12,337.0,12.0,0.0
19,11,5,12,30,15,338.0,12.0,0.0
22,10,5,6,31,16,339.0,12.0,0.0
24,9,3,8,27,19,340.0,12.0,0.0
25,10,5,13,23,15,341.0,12.0,0.0
24,9,8,13,22,13,342.0,12.0,0.0
21,9,6,15,29,12,343.0,12.0,0.0
22,11,18,12,12,13,344.0,12.0,0.0
27,12,8,10,18,16,345.0,11.0,0.0
27,12,8,10,18,16,346.0,12.0,0.0
23,12,11,12,12,18,347.0,12.0,0.0
25,6,11,10,18,18,348.0,12.0,0.0
17,12,16,6,17,21,349.0,12.0,1.0
23,15,4,10,21,20,350.0,12.0,0.0
24,8,7,10,22,18,351.0,12.0,1.0
17,6,4,8,32,24,352.0,11.0,0.0
10,10,4,3,36,21,353.0,11.0,1.0
27,10,2,10,21,19,354.0,11.0,0.0
18,10,2,10,35,15,355.0,11.0,0.0
24,11,3,10,28,15,356.0,11.0,0.0
16,12,4,5,36,14,357.0,11.0,0.0
23,11,12,9,13,21,358.0,13.0,0.0
23,9,12,14,9,19,359.0,13.0,0.0
23,13,12,11,12,16,360.0,13.0,0.0
16,11,7,7,31,18,361.0,13.0,0.0
25,12,6,9,19,22,362.0,13.0,0.0
20,11,8,10,21,18,363.0,13.0,0.0
18,9,9,9,22,22,364.0,13.0,0.0
19,10,12,12,19,18,365.0,13.0,1.0
22,12,12,10,18,16,366.0,13.0,1.0
23,12,13,6,18,21,367.0,13.0,0.0
21,13,12,12,12,18,368.0,13.0,0.0
24,12,15,14,7,15,369.0,13.0,1.0
16,11,7,9,15,26,370.0,13.0,1.0
19,13,7,11,23,17,371.0,13.0,1.0
22,11,10,13,17,18,372.0,13.0,0.0
18,10,9,14,21,17,373.0,13.0,0.0
13,13,13,18,5,22,374.0,13.0,1.0
28,11,8,11,16,16,375.0,13.0,0.0
29,11,5,9,18,18,376.0,13.0,0.0
22,10,10,12,20,15,377.0,13.0,1.0
19,11,4,9,30,18,378.0,13.0,1.0
21,8,3,8,29,20,379.0,13.0,0.0
22,11,3,9,29,18,380.0,13.0,0.0
17,10,7,8,25,21,381.0,13.0,0.0
25,12,5,6,27,18,382.0,13.0,0.0
24,9,7,8,24,20,383.0,13.0,0.0
23,10,3,9,24,19,384.0,14.0,0.0
32,8,8,9,18,14,385.0,14.0,0.0
24,10,3,8,32,16,386.0,14.0,0.0
18,12,4,6,30,20,387.0,14.0,1.0
21,12,3,7,31,17,388.0,14.0,0.0
27,5,7,14,29,10,389.0,14.0,0.0
27,10,7,9,26,13,390.0,14.0,0.0
26,9,6,10,31,10,391.0,14.0,0.0
29,12,8,10,18,13,392.0,14.0,0.0
21,9,5,11,27,17,393.0,14.0,0.0
28,8,8,13,24,10,394.0,14.0,0.0
22,8,6,9,33,13,395.0,14.0,0.0
22,6,4,12,35,13,396.0,14.0,0.0
25,13,14,11,11,14,397.0,14.0,1.0
23,12,16,12,8,17,398.0,14.0,0.0
27,12,15,11,13,14,399.0,14.0,0.0
20,13,10,12,18,15,400.0,14.0,0.0
26,10,12,10,17,16,401.0,14.0,0.0
17,10,10,11,20,20,402.0,14.0,0.0
23,14,11,9,16,18,403.0,14.0,0.0
21,11,13,8,14,20,404.0,14.0,1.0
24,11,12,13,17,15,405.0,14.0,0.0
26,11,13,9,17,16,406.0,14.0,0.0
26,16,11,10,18,13,407.0,14.0,0.0
28,7,6,11,23,13,408.0,17.0,0.0
23,9,3,8,33,13,409.0,17.0,0.0
24,9,4,12,33,9,410.0,17.0,1.0
22,7,6,12,35,11,411.0,17.0,0.0
26,9,4,9,32,12,412.0,17.0,0.0
30,7,6,8,28,14,413.0,17.0,0.0
23,9,3,7,36,13,414.0,17.0,1.0
25,9,5,10,35,9,415.0,17.0,0.0
32,5,3,8,37,9,416.0,17.0,0.0
27,11,7,9,17,17,417.0,15.0,0.0
28,10,7,9,16,16,418.0,15.0,1.0
17,10,8,9,30,13,419.0,15.0,0.0
20,10,6,10,28,14,420.0,15.0,0.0
21,9,6,9,28,15,421.0,15.0,0.0
18,10,7,9,25,17,422.0,15.0,1.0
19,12,3,8,31,17,423.0,15.0,0.0
17,11,6,10,28,17,424.0,15.0,1.0
18,11,5,11,25,18,425.0,15.0,1.0
22,13,14,10,10,18,426.0,15.0,1.0
22,9,12,11,12,19,427.0,15.0,1.0
17,10,11,10,16,20,428.0,15.0,1.0
18,12,8,10,21,16,429.0,15.0,1.0
17,9,10,9,19,21,430.0,15.0,1.0
18,9,10,9,24,19,431.0,15.0,1.0
19,11,10,9,17,22,432.0,15.0,0.0
22,12,17,10,8,15,433.0,15.0,0.0
22,10,17,8,10,19,434.0,15.0,1.0
23,13,14,9,10,16,435.0,15.0,1.0
18,10,9,11,18,23,436.0,15.0,0.0
17,12,10,10,21,19,437.0,15.0,0.0
20,11,12,11,17,16,438.0,15.0,1.0
19,10,11,9,17,21,439.0,15.0,1.0
22,10,11,9,21,16,440.0,15.0,1.0
17,11,10,9,21,18,441.0,15.0,1.0
21,9,12,10,16,20,442.0,15.0,1.0
27,9,8,9,18,17,443.0,15.0,0.0
29,12,7,11,18,12,444.0,15.0,0.0
20,11,5,7,28,18,445.0,15.0,1.0
20,11,4,8,33,13,446.0,15.0,0.0
23,8,5,6,29,16,447.0,15.0,0.0
25,7,5,13,30,11,448.0,15.0,0.0
25,9,7,11,24,16,449.0,15.0,0.0
27,10,7,11,23,13,450.0,15.0,1.0
20,9,6,10,33,13,451.0,15.0,0.0
25,10,3,8,26,19,452.0,16.0,0.0
16,9,2,4,37,19,453.0,16.0,0.0
16,9,3,3,39,16,454.0,16.0,0.0
27,13,1,3,27,19,455.0,16.0,0.0
16,8,2,8,39,13,456.0,16.0,1.0
15,8,2,3,43,15,457.0,16.0,0.0
28,10,5,7,19,21,458.0,16.0,0.0
17,9,3,8,33,20,459.0,16.0,1.0
18,7,3,6,35,18,460.0,16.0,0.0
14,9,2,6,40,17,461.0,16.0,1.0
23,12,4,6,22,22,462.0,16.0,1.0
17,10,4,5,36,17,463.0,16.0,0.0
16,9,2,7,37,16,464.0,16.0,0.0
18,10,2,4,37,19,465.0,16.0,1.0
29,8,5,9,25,13,466.0,17.0,0.0
27,8,7,12,21,15,467.0,17.0,0.0
24,7,5,10,32,13,468.0,17.0,0.0
22,10,5,8,34,13,469.0,17.0,0.0
25,8,4,10,33,12,470.0,17.0,1.0
23,10,5,9,27,13,471.0,17.0,1.0
17,7,5,10,34,16,472.0,17.0,1.0
24,9,7,8,29,15,473.0,17.0,0.0
24,8,7,9,30,12,474.0,17.0,0.0
32,7,3,10,26,12,475.0,17.0,0.0
27,8,5,10,29,10,476.0,17.0,0.0
25,9,2,11,35,10,477.0,17.0,0.0
28,7,2,14,31,13,478.0,17.0,0.0
24.8,21.6,14.5,16.1,8.9,7.5,0.0,1.0,6.6
29.4,21.5,8.9,13.8,12.6,7.6,1.0,2.0,6.2
32.4,23.6,6.6,11.4,14.6,7.0,2.0,3.0,4.4
27.6,16.6,8.3,9.7,27.6,6.2,3.0,4.0,4.0
29.3,20.5,7.8,15.8,13.2,6.7,4.0,5.0,6.7
23.5,10.5,15.2,26.8,6.3,3.5,5.0,6.0,14.2
