Stadt,Jahr,Wahlart,Kolumna1,Stadtteil zus.,Wahlberechtigte,Wahlberechtigte mit WS,Wähler,Wähler mit WS,Stimmen gültig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grüne,Stimmen FDP,Stimmen AfD,Stimmen Piraten,Stimmen ungültig
Dresden,2017,Bundestagswahl,,23 Kaditz,1109,226,611,0,605,121,47,92,36,62,197,2,6
Dresden,2017,Bundestagswahl,,23 Kaditz,1237,243,636,1,631,96,55,116,40,59,201,5,5
Dresden,2017,Bundestagswahl,,23 Kaditz,1056,213,662,4,657,202,44,66,33,61,212,0,5
Dresden,2017,Bundestagswahl,,23 Kaditz,1077,161,691,1,674,147,75,94,18,62,226,4,17
Dresden,2017,Bundestagswahl,,24 Trachau,0,0,1022,1022,1018,276,117,184,106,110,146,4,4
Dresden,2017,Bundestagswahl,,24 Trachau,0,0,796,796,793,242,96,134,63,58,151,2,3
Dresden,2017,Bundestagswahl,,24 Trachau,951,174,583,5,578,126,62,111,39,45,144,5,5
Dresden,2017,Bundestagswahl,,24 Trachau,1161,298,733,4,730,161,86,151,75,79,131,1,3
Dresden,2017,Bundestagswahl,,24 Trachau,1039,282,625,6,616,149,63,115,63,48,129,4,9
Dresden,2017,Bundestagswahl,,24 Trachau,1322,302,801,1,798,177,84,148,75,83,177,2,3
Dresden,2017,Bundestagswahl,,24 Trachau,1543,333,911,2,899,204,97,171,37,74,255,5,12
Dresden,2017,Bundestagswahl,,24 Trachau,1082,203,628,0,622,151,54,120,39,42,169,2,6
Dresden,2017,Bundestagswahl,,24 Trachau,1019,284,596,1,592,150,61,81,38,59,174,1,4
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,0,0,1084,1084,1078,288,115,204,105,99,149,12,6
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,0,0,956,956,952,253,114,161,87,95,149,4,4
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1486,298,778,4,770,155,58,187,62,56,166,10,8
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1205,223,664,13,659,122,73,136,71,54,112,9,5
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1401,258,837,2,828,201,87,119,29,65,254,7,9
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1751,360,915,1,907,180,89,171,72,67,204,14,8
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1706,375,872,2,861,180,82,182,63,73,194,6,11
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,832,236,441,1,437,96,44,76,42,48,94,1,4
Dresden,2017,Bundestagswahl,,25 Pieschen-N/Trachenberge,1562,392,826,0,817,175,82,163,64,76,217,3,9
Dresden,2017,Bundestagswahl,,31 Klotzsche,0,0,786,786,783,215,82,150,43,76,176,0,3
Dresden,2017,Bundestagswahl,,31 Klotzsche,0,0,846,846,843,260,66,114,90,109,149,6,3
Dresden,2017,Bundestagswahl,,31 Klotzsche,0,0,684,684,681,211,59,113,40,66,146,0,3
Dresden,2017,Bundestagswahl,,31 Klotzsche,1586,338,957,5,949,265,80,141,82,98,226,4,8
Dresden,2017,Bundestagswahl,,31 Klotzsche,1379,282,754,2,746,167,93,125,38,66,220,2,8
Dresden,2017,Bundestagswahl,,31 Klotzsche,1048,194,655,2,647,151,48,131,24,59,188,4,8
Dresden,2017,Bundestagswahl,,31 Klotzsche,1303,346,814,3,805,202,70,104,61,113,197,5,9
Dresden,2017,Bundestagswahl,,31 Klotzsche,1099,244,729,7,722,175,76,97,70,83,182,5,7
Dresden,2017,Bundestagswahl,,31 Klotzsche,1186,287,741,1,741,178,77,98,69,110,152,4,0
Dresden,2017,Bundestagswahl,,31 Klotzsche,1045,261,692,2,686,201,57,87,62,81,153,2,6
Dresden,2017,Bundestagswahl,,31 Klotzsche,935,174,505,2,495,114,38,104,24,55,130,6,10
Dresden,2017,Bundestagswahl,,31 Klotzsche,929,148,611,1,606,137,63,116,25,50,184,8,5
Dresden,2017,Bundestagswahl,,31 Klotzsche,860,123,513,0,506,98,40,114,21,27,160,2,7
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,0,0,417,417,415,138,41,42,17,43,112,0,2
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,0,0,726,726,726,230,69,111,74,77,117,3,0
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,1389,292,894,0,887,233,49,105,45,98,309,4,7
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,859,151,580,4,572,148,36,58,24,65,213,1,8
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,801,194,428,0,426,107,35,70,14,50,131,1,2
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,943,237,611,3,605,169,60,82,52,65,154,0,6
Dresden,2017,Bundestagswahl,,32 Hellerau/Wilschdorf,1140,317,711,0,703,160,75,118,85,63,165,4,8
Dresden,2017,Bundestagswahl,,35 Weixdorf,0,0,902,902,902,279,68,141,54,105,196,2,0
Dresden,2017,Bundestagswahl,,35 Weixdorf,1298,308,813,2,811,222,76,96,52,109,213,8,2
Dresden,2017,Bundestagswahl,,35 Weixdorf,1099,206,748,1,746,220,58,91,49,60,236,8,2
