,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
55,03 StB Neustadt ohne Leipziger Vorstadt,11,12,20,7,5,28,2
56,03 StB Neustadt ohne Leipziger Vorstadt,12,11,17,8,8,28,2
57,03 StB Neustadt ohne Leipziger Vorstadt,12,9,18,6,8,29,2
58,03 StB Neustadt ohne Leipziger Vorstadt,12,8,24,5,7,29,1
59,03 StB Neustadt ohne Leipziger Vorstadt,11,9,24,5,5,33,1
60,03 StB Neustadt ohne Leipziger Vorstadt,10,11,25,7,5,30,1
61,03 StB Neustadt ohne Leipziger Vorstadt,9,10,24,4,8,30,1
62,03 StB Neustadt ohne Leipziger Vorstadt,10,11,20,5,7,31,1
63,03 StB Neustadt ohne Leipziger Vorstadt,24,10,22,7,7,21,1
64,03 StB Neustadt ohne Leipziger Vorstadt,24,11,13,10,13,18,1
65,03 StB Neustadt ohne Leipziger Vorstadt,17,10,23,7,11,22,1
66,03 StB Neustadt ohne Leipziger Vorstadt,21,10,18,10,13,18,1
67,03 StB Neustadt ohne Leipziger Vorstadt,24,10,15,9,16,17,0
68,03 StB Neustadt ohne Leipziger Vorstadt,20,9,11,11,15,21,1
69,03 StB Neustadt ohne Leipziger Vorstadt,22,6,11,13,16,21,0
70,03 StB Neustadt ohne Leipziger Vorstadt,16,7,6,6,24,25,1
71,03 StB Neustadt ohne Leipziger Vorstadt,23,11,12,9,11,24,1
72,03 StB Neustadt ohne Leipziger Vorstadt,27,10,20,9,7,17,0
73,03 StB Neustadt ohne Leipziger Vorstadt,19,11,14,11,13,18,1
74,03 StB Neustadt ohne Leipziger Vorstadt,25,13,3,6,21,22,1
75,03 StB Neustadt ohne Leipziger Vorstadt,15,10,16,9,10,25,1
76,03 StB Neustadt ohne Leipziger Vorstadt,20,12,13,7,13,25,1
77,"04 Leipziger Vorstadt, Pieschen",13,9,21,6,3,32,1
78,"04 Leipziger Vorstadt, Pieschen",12,10,24,4,6,28,1
79,"04 Leipziger Vorstadt, Pieschen",20,10,16,6,14,20,1
