GebietsartschlÌ_ssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im WÌ_hlerverzeichnis;WÌ_hler gesamt;WÌ_hler mit Wahlschein;UngÌ_ltige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÌÏNE;Anteil GRÌÏNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÌãHLER;Anteil FREIE WÌãHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÌÐDP;Anteil ÌÐDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BÌ_So;Anteil BÌ_So;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Parteiå_;Anteil V-Parteiå_
BTSB;162;21;923612;594743;328833;36;308778;308778;857;100839;32,75%;45089;14,64%;52273;16,98%;47953;15,57%;21384;6,94%;21825;7,09%;3970;1,29%;1132;0,37%;2845;0,92%;1626;0,53%;225;0,07%;2650;0,86%;91;0,03%;67;0,02%;685;0,22%;1121;0,36%;71;0,02%;363;0,12%;2716;0,88%;293;0,10%;703;0,23%
BTSB;1;1;13614;7831;5783;0;11070;5499;25;3380;30,60%;1389;12,58%;2089;18,91%;2422;21,93%;539;4,88%;805;7,29%;59;0,53%;23;0,21%;80;0,72%;18;0,16%;5;0,05%;66;0,60%;3;0,03%;1;0,01%;25;0,23%;29;0,26%;2;0,02%;7;0,06%;76;0,69%;6;0,05%;21;0,19%
BTSB;2;1;32221;19049;13167;5;26465;12584;82;6215;23,56%;3692;13,99%;6759;25,62%;4430;16,79%;1180;4,47%;2818;10,68%;145;0,55%;106;0,40%;140;0,53%;63;0,24%;10;0,04%;145;0,55%;13;0,05%;6;0,02%;82;0,31%;147;0,56%;8;0,03%;24;0,09%;332;1,26%;11;0,04%;57;0,22%
BTSB;3;1;34632;19983;14645;4;28522;13978;55;7461;26,21%;4057;14,25%;6228;21,88%;5452;19,15%;1434;5,04%;2523;8,86%;199;0,70%;103;0,36%;227;0,80%;56;0,20%;11;0,04%;158;0,56%;14;0,05%;4;0,01%;50;0,18%;91;0,32%;3;0,01%;39;0,14%;279;0,98%;14;0,05%;64;0,22%
BTSB;4;1;45881;27631;18249;1;37623;17474;106;9843;26,24%;6173;16,45%;7940;21,16%;6224;16,59%;2215;5,90%;3325;8,86%;294;0,78%;141;0,38%;312;0,83%;108;0,29%;22;0,06%;244;0,65%;17;0,05%;7;0,02%;88;0,23%;125;0,33%;6;0,02%;29;0,08%;307;0,82%;27;0,07%;70;0,19%
BTSB;5;1;39651;23853;15797;1;32383;14935;115;7585;23,51%;5016;15,54%;8033;24,89%;4670;14,47%;1684;5,22%;3481;10,79%;248;0,77%;146;0,45%;287;0,89%;110;0,34%;17;0,05%;246;0,76%;14;0,04%;9;0,03%;80;0,25%;132;0,41%;15;0,05%;39;0,12%;366;1,13%;25;0,08%;65;0,20%
BTSB;6;1;25650;16150;9498;2;20618;9109;72;4930;23,99%;3482;16,95%;4713;22,94%;2389;11,63%;1385;6,74%;2352;11,45%;212;1,03%;82;0,40%;154;0,75%;88;0,43%;15;0,07%;191;0,93%;12;0,06%;4;0,02%;70;0,34%;110;0,54%;6;0,03%;37;0,18%;254;1,24%;18;0,09%;42;0,20%
BTSB;7;1;35813;23377;12436;0;27810;11897;102;8268;29,84%;4751;17,15%;4759;17,18%;3463;12,50%;2344;8,46%;2369;8,55%;322;1,16%;143;0,52%;251;0,91%;148;0,53%;27;0,10%;269;0,97%;8;0,03%;6;0,02%;57;0,21%;120;0,43%;1;0,00%;20;0,07%;303;1,09%;33;0,12%;46;0,17%
BTSB;8;1;16391;10667;5724;0;12895;5465;63;2667;20,78%;2137;16,65%;3201;24,95%;1511;11,78%;756;5,89%;1698;13,23%;117;0,91%;82;0,64%;90;0,70%;47;0,37%;13;0,10%;127;0,99%;4;0,03%;7;0,05%;35;0,27%;90;0,70%;3;0,02%;23;0,18%;180;1,40%;10;0,08%;34;0,26%
BTSB;9;1;63111;38527;24580;4;51138;23520;168;14080;27,62%;8308;16,30%;10177;19,97%;7252;14,23%;3549;6,96%;4733;9,29%;483;0,95%;192;0,38%;492;0,97%;245;0,48%;33;0,06%;409;0,80%;7;0,01%;18;0,04%;120;0,24%;171;0,34%;9;0,02%;70;0,14%;466;0,91%;52;0,10%;104;0,20%
